Prompt,Query
Get the average order value among event staff roles grouped by facility ID,"SELECT facility_id, AVG(order) FROM event_staff_roles GROUP BY facility_id;"
"Retrieve event staff roles with names containing either ""A"" or ""B"", ordered by name",SELECT * FROM event_staff_roles WHERE name LIKE '%A%' OR name LIKE '%B%' ORDER BY name;
"Select the event staff roles with names containing either ""A"" or ""B"", ordered by name",SELECT * FROM event_staff_roles WHERE name LIKE '%A%' OR name LIKE '%B%' ORDER BY name;
"Retrieve the count of event staff roles for each form ID, ordered by the count in descending order","SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count DESC;"
"Select the count of event staff roles for each form ID, ordered by the count in descending order","SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count DESC;"
"Get the count of event staff roles for each form ID, ordered by the count in descending order","SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count DESC;"
"Retrieve event staff roles with names starting with a vowel, ordered by name",SELECT * FROM event_staff_roles WHERE name REGEXP '^[AEIOU]' ORDER BY name;
"Select the event staff roles with names starting with a vowel, ordered by name",SELECT * FROM event_staff_roles WHERE name REGEXP '^[AEIOU]' ORDER BY name;
"Get the event staff roles with names starting with a vowel, ordered by name",SELECT * FROM event_staff_roles WHERE name REGEXP '^[AEIOU]' ORDER BY name;
"Retrieve event staff roles with order values between two specific numbers, ordered by order in descending order",SELECT * FROM event_staff_roles WHERE order BETWEEN 5 AND 10 ORDER BY order DESC;
"Select the event staff roles with order values between two specific numbers, ordered by order in descending order",SELECT * FROM event_staff_roles WHERE order BETWEEN 5 AND 10 ORDER BY order DESC;
Retrieve the distinct form IDs and the count of event staff roles for each form ID,"SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id;"
Select the distinct form IDs and the count of event staff roles for each form ID,"SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id;"
Get the distinct form IDs and the count of event staff roles for each form ID,"SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id;"
Retrieve the maximum order value among event staff roles for each facility ID,"SELECT facility_id, MAX(order) AS max_order FROM event_staff_roles GROUP BY facility_id;"
Select the maximum order value among event staff roles for each facility ID,"SELECT facility_id, MAX(order) AS max_order FROM event_staff_roles GROUP BY facility_id;"
"Retrieve event staff roles with names containing either ""A"" or ""B"" and updated by a specific user, ordered by name",SELECT * FROM event_staff_roles WHERE (name LIKE '%A%' OR name LIKE '%B%') AND updates_by = 'UserID' ORDER BY name;
"Select the event staff roles with names containing either ""A"" or ""B"" and updated by a specific user, ordered by name",SELECT * FROM event_staff_roles WHERE (name LIKE '%A%' OR name LIKE '%B%') AND updates_by = 'UserID' ORDER BY name;
Retrieve the count of event staff roles for each form ID and order the result by the count in descending order,"SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count DESC;"
Select the count of event staff roles for each form ID and order the result by the count in descending order,"SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count DESC;"
Get the count of event staff roles for each form ID and order the result by the count in descending order,"SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count DESC;"
Retrieve event staff roles with names starting with a vowel and order them by name,SELECT * FROM event_staff_roles WHERE name REGEXP '^[AEIOU]' ORDER BY name;
Select the event staff roles with names starting with a vowel and order them by name,SELECT * FROM event_staff_roles WHERE name REGEXP '^[AEIOU]' ORDER BY name;
"Retrieve the count of event staff roles for each facility ID, and order the result by the count in ascending order","SELECT facility_id, COUNT(*) AS count FROM event_staff_roles GROUP BY facility_id ORDER BY count ASC;"
"Select the count of event staff roles for each facility ID, and order the result by the count in ascending order:","SELECT facility_id, COUNT(*) AS count FROM event_staff_roles GROUP BY facility_id ORDER BY count ASC;"
"Get the count of event staff roles for each facility ID, and order the result by the count in ascending order:","SELECT facility_id, COUNT(*) AS count FROM event_staff_roles GROUP BY facility_id ORDER BY count ASC;"
"Retrieve event staff roles with order values greater 5, ordered by order",SELECT * FROM event_staff_roles WHERE order > 5 ORDER BY order;
"Retrieve the count of event staff roles for each form ID, ordered by the count","SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count;"
"Select the count of event staff roles for each form ID, ordered by the count","SELECT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id ORDER BY count;"
Retrieve the distinct form IDs and the count of event staff roles for each form ID,"SELECT DISTINCT forms_id, COUNT(*) AS count FROM event_staff_roles GROUP BY forms_id;"
Select all hazards,SELECT * FROM hazards;
Select hazards by their names,SELECT * FROM hazards WHERE name = 'your_hazard_name';
Select hazards where organization hazard ID is 1,SELECT * FROM hazards WHERE organization_hazard_id = 1;
Select hazards ordered by their creation date in ascending order,SELECT * FROM hazards ORDER BY created_at ASC;
Retrieve the hazards ordered by their creation date in ascending order,SELECT * FROM hazards ORDER BY created_at ASC;
Get the hazards ordered by their creation date in ascending order,SELECT * FROM hazards ORDER BY created_at ASC;
Select the latest updated hazard,SELECT * FROM hazards ORDER BY updated_at DESC LIMIT 1;
Retrieve the latest updated hazard,SELECT * FROM hazards ORDER BY updated_at DESC LIMIT 1;
Get the latest updated hazard,SELECT * FROM hazards ORDER BY updated_at DESC LIMIT 1;
Select hazards with non-null pharmacy IDs,SELECT * FROM hazards WHERE pharmacies_id IS NOT NULL;
Retrieve the hazards with non-null pharmacy IDs,SELECT * FROM hazards WHERE pharmacies_id IS NOT NULL;
Get the hazards with non-null pharmacy IDs,SELECT * FROM hazards WHERE pharmacies_id IS NOT NULL;
Select hazards with null pharmacy IDs,SELECT * FROM hazards WHERE pharmacies_id IS NULL;
Retrieve the hazards with null pharmacy IDs:,SELECT * FROM hazards WHERE pharmacies_id IS NULL;
Select hazards updated within the last 30 days,"SELECT * FROM hazards WHERE updated_at >= DATE_SUB(CURDATE(), INTERVAL 30 DAY);"
Retrieve the hazards updated within the last 30 days,"SELECT * FROM hazards WHERE updated_at >= DATE_SUB(CURDATE(), INTERVAL 30 DAY);"
Select hazards created within the last 7 days,"SELECT * FROM hazards WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 7 DAY);"
Retrieve the hazards created within the last 7 days,"SELECT * FROM hazards WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 7 DAY);"
Get hazards created within the last 7 days,"SELECT * FROM hazards WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 7 DAY);"
List the hazards created within the last 7 days,"SELECT * FROM hazards WHERE created_at >= DATE_SUB(CURDATE(), INTERVAL 7 DAY);"
Select hazards updated within the last 6 months,"SELECT * FROM hazards WHERE updated_at >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH);"
Retrieve the hazards updated within the last 6 months:,"SELECT * FROM hazards WHERE updated_at >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH);"
Count the total number of hazards,SELECT COUNT(*) AS total_hazards FROM hazards;
Get the count the total number of hazards,SELECT COUNT(*) AS total_hazards FROM hazards;
Calculate the average number of hazards per pharmacy,SELECT AVG(pharmacies_id) AS avg_hazards_per_pharmacy FROM hazards;
Find the maximum created date among hazards,SELECT MAX(created_at) AS max_created_date FROM hazards;
Determine the minimum updated date among hazards,SELECT MIN(updated_at) AS min_updated_date FROM hazards;
Calculate the sum of pharmacies' IDs for all hazards,SELECT SUM(pharmacies_id) AS sum_pharmacies_ids FROM hazards;
Calculate the average length of hazard descriptions,SELECT AVG(LENGTH(description)) AS avg_description_length FROM hazards;
Determine the maximum number of hazards created in a single day,SELECT COUNT(*) AS max_hazards_created FROM hazards GROUP BY DATE(created_at) ORDER BY max_hazards_created DESC LIMIT 1;
Find the minimum number of hazards updated in a single day,SELECT COUNT(*) AS min_hazards_updated FROM hazards GROUP BY DATE(updated_at) ORDER BY min_hazards_updated ASC LIMIT 1;
Calculate the average difference in days between created and updated dates for hazards,"SELECT AVG(DATEDIFF(updated_at, created_at)) AS avg_days_difference FROM hazards;"
Determine the sum of pharmacy IDs for hazards updated within the last 30 days,"SELECT SUM(pharmacies_id) AS sum_pharmacies_ids FROM hazards WHERE updated_at >= DATE_SUB(CURDATE(), INTERVAL 30 DAY);"
Calculate the total number of hazards for each pharmacy,"SELECT pharmacies_id, COUNT(*) AS total_hazards FROM hazards GROUP BY pharmacies_id;"
Determine the sum of pharmacy IDs for hazards with a specific name and created within the last 30 days,"SELECT name, SUM(pharmacies_id) AS sum_pharmacies_ids FROM hazards WHERE name = 'your_hazard_name' AND created_at >= DATE_SUB(CURDATE(), INTERVAL 30 DAY) GROUP BY name;"
Calculate the average number of hazards per week,"SELECT YEARWEEK(created_at) AS week, COUNT(*) AS hazards_per_week FROM hazards GROUP BY week;"
Calculate the maximum difference in days between created and updated dates for hazards,"SELECT MAX(DATEDIFF(updated_at, created_at)) AS max_days_difference FROM hazards;"
Calculate the minimum difference in days between created and updated dates for hazards,"SELECT MIN(DATEDIFF(updated_at, created_at)) AS min_days_difference FROM hazards;"
Find the maximum length of hazard descriptions,SELECT MAX(LENGTH(description)) AS max_description_length FROM hazards;
Determine the average number of hazards per day,"SELECT DATE(created_at) AS created_date, COUNT(*) AS hazards_per_day FROM hazards GROUP BY created_date;"
Find the minimum number of hazards updated on a specific date,"SELECT DATE(updated_at) AS updated_date, COUNT(*) AS min_hazards_updated FROM hazards GROUP BY updated_date ORDER BY min_hazards_updated ASC LIMIT 1;"
Calculate the total number of hazards created per month,"SELECT YEAR(created_at) AS year, MONTH(created_at) AS month, COUNT(*) AS hazards_count FROM hazards GROUP BY year, month;"
Calculate the sum of pharmacy IDs for hazards created in each year,"SELECT YEAR(created_at) AS year, SUM(pharmacies_id) AS sum_pharmacies_ids FROM hazards GROUP BY year;"
Find the average difference in hours between created and updated timestamps for hazards,"SELECT AVG(TIMESTAMPDIFF(HOUR, created_at, updated_at)) AS avg_hours_difference FROM hazards;"
Retrieve the full names and employee IDs of active staff members.,"SELECT full_name, employee_id FROM staff_directory WHERE is_active = 1;"
Find assets with a specific serial number and belonging to a particular pharmacy.,SELECT * FROM assets WHERE serial_number = 'ABC123' AND pharmacies_id = 456;
Get all hazards created in the last week.,SELECT * FROM hazards WHERE created_at >= NOW() - INTERVAL '1 week';
Retrieve the names and order of event staff roles for a specific facility.,"SELECT name, order FROM event_staff_roles WHERE facility_id = 789;"
Find event actions performed by a specific user and within a given date range.,SELECT * FROM event_actions WHERE user_id = 123 AND action_date BETWEEN '2023-07-01' AND '2023-07-31';
Retrieve form settings summary tools for a specific form and organization.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND organization_id = 456;
Get events with a specific event type and open status.,SELECT * FROM events WHERE events_type_id = 123 AND is_open = 1;
Find users with a specific role and created after a certain date.,SELECT * FROM users WHERE roles_id = 789 AND date_created > '2023-01-01';
Retrieve organizations with a trial end date in the future.,SELECT * FROM organizations WHERE trial_ends_at > NOW();
Find pharmacies that were activated by a specific user.,SELECT * FROM pharmacies WHERE activated_by = 123;
Retrieve the IDs and full names of staff members belonging to a specific organization.,"SELECT id, full_name FROM staff_directory WHERE org_id = 123;"
Find assets that are currently active and belong to a particular organization.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456;
Get hazards with a specific name and description.,SELECT * FROM hazards WHERE name = 'Fire Hazard' AND description = 'High risk of fire outbreak.';
Retrieve the default event staff roles for a specific form ID.,SELECT * FROM event_staff_roles WHERE forms_id = 789 AND is_default = 1;
Find event actions performed by a specific user and updated within the last week.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_at >= NOW() - INTERVAL '1 week';
Get form settings summary tools for a particular facility and organization.,SELECT * FROM formsettings_summarytools WHERE facility_id = 789 AND organization_id = 456;
Retrieve events created by a specific user and still open.,SELECT * FROM events WHERE users_id = 123 AND is_open = 1;
Find users with a specific role and active status.,SELECT * FROM users WHERE roles_id = 789 AND active = 1;
Get organizations created after a certain date and located in a specific city.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND city = 'New York';
Retrieve pharmacies that were activated within the last month.,SELECT * FROM pharmacies WHERE activated_by >= NOW() - INTERVAL '1 month';
Retrieve the user IDs and names of active staff members in a specific organization.,"SELECT user_id, full_name FROM staff_directory WHERE is_active = 1 AND org_id = 123;"
Find assets that were created or updated in the last 30 days.,SELECT * FROM assets WHERE created_at >= NOW() - INTERVAL '30 days' OR updated_at >= NOW() - INTERVAL '30 days';
"Get hazards with a description containing the word ""danger"" and created in the last 3 months.",SELECT * FROM hazards WHERE description LIKE '%danger%' AND created_at >= NOW() - INTERVAL '3 months';
Retrieve the names and orders of event staff roles for a specific form ID and facility ID.,"SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456;"
Find event actions performed by a specific user,"updated by a specific user, and within a specific date range.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_by = 456 AND action_date BETWEEN '2023-06-01' AND '2023-06-30';"
Get form settings summary tools for a specific form ID,"facility ID, and organization ID.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND facility_id = 456 AND organization_id = 123;"
Retrieve events created by a specific user,"organization ID, and closed within the last week.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '7 days';"
Find users with a specific role,"active status, and created after a certain date.,SELECT * FROM users WHERE roles_id = 789 AND active = 1 AND date_created > '2023-01-01';"
Get organizations with a trial end date in the future and located in a specific city.,SELECT * FROM organizations WHERE trial_ends_at > NOW() AND city = 'London';
Find assets that are active,"belong to a specific organization, and have been updated within the last month.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456 AND updated_at >= NOW() - INTERVAL '1 month';"
"Get hazards with a description containing the word ""danger"" and created in the last 3 months","ordered by their names in ascending order.,SELECT * FROM hazards WHERE description LIKE '%danger%' AND created_at >= NOW() - INTERVAL '3 months' ORDER BY name ASC;"
Retrieve the names and orders of event staff roles for a specific form ID and facility ID,"excluding the ones that have a default setting.,SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456 AND is_default = 0;"
Find event actions performed by a specific user,"updated by a different specific user, and within a specific date range, ordered by the action date in descending order.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_by = 456 AND action_date BETWEEN '2023-06-01' AND '2023-06-30' ORDER BY action_date DESC;"
Get form settings summary tools for a specific form ID,"facility ID, and organization ID, ordered by the tools ID in ascending order.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND facility_id = 456 AND organization_id = 123 ORDER BY tools_id ASC;"
Retrieve events created by a specific user,"organization ID, and closed within the last week, ordered by the event type ID in ascending order.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '7 days' ORDER BY events_type_id ASC;"
Find users with a specific role,"active status, and created after a certain date, ordered by their full names in ascending order.,SELECT * FROM users WHERE roles_id = 789 AND active = 1 AND date_created > '2023-01-01' ORDER BY full_name ASC;"
Get organizations with a trial end date in the future,"located in a specific city, and ordered by their trial end dates in descending order.,SELECT * FROM organizations WHERE trial_ends_at > NOW() AND city = 'London' ORDER BY trial_ends_at DESC;"
Retrieve pharmacies with a specific name,"activated by a specific user, and disabled after a certain date, ordered by their names in ascending order.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC;"
Retrieve the full names and employee IDs of staff members who are active,"belong to a specific organization, and have a registration number.,SELECT full_name, employee_id FROM staff_directory WHERE is_active = 1 AND org_id = 123 AND reg_number IS NOT NULL;"
Find assets that are active,"belong to a specific organization, have a specific asset type ID, and have been updated within the last month.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456 AND asset_type_id = 789 AND updated_at >= NOW() - INTERVAL '1 month';"
"Get hazards with a description containing the word ""danger"" and created in the last 3 months","ordered by their names in ascending order and limited to 10 rows.,SELECT * FROM hazards WHERE description LIKE '%danger%' AND created_at >= NOW() - INTERVAL '3 months' ORDER BY name ASC LIMIT 10;"
Retrieve the names and orders of event staff roles for a specific form ID and facility ID,"excluding the ones that have a default setting and ordered by the order in descending order.,SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456 AND is_default = 0 ORDER BY order DESC;"
Find event actions performed by a specific user,"updated by a different specific user, and within a specific date range, ordered by the action date in descending order and limited to 20 rows.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_by = 456 AND action_date BETWEEN '2023-06-01' AND '2023-06-30' ORDER BY action_date DESC LIMIT 20;"
Retrieve events created by a specific user,"organization ID, and closed within the last week, ordered by the event type ID in ascending order and limited to 50 rows.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '7 days' ORDER BY events_type_id ASC LIMIT 50;"
Retrieve pharmacies with a specific name,"activated by a specific user, and disabled after a certain date, ordered by their names in ascending order and limited to 15 rows.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC LIMIT 15;"
Retrieve pharmacies with a specific name,"activated by a specific user, disabled after a certain date, and ordered by their names in ascending order.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC;"
Retrieve the names and IDs of staff members who are active,"belong to a specific organization, and have been updated in the last 3 months.,SELECT full_name, id FROM staff_directory WHERE is_active = 1 AND org_id = 123 AND updated_at >= NOW() - INTERVAL '3 months';"
Find assets that are active,"belong to a specific organization, have a specific asset type ID, and have a serial number starting with 'ABC'.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456 AND asset_type_id = 789 AND serial_number LIKE 'ABC%';"
"Get hazards with a description containing the word ""fire"" and created in the last 6 months","ordered by their created dates in descending order.,SELECT * FROM hazards WHERE description LIKE '%fire%' AND created_at >= NOW() - INTERVAL '6 months' ORDER BY created_at DESC;"
Retrieve the names and orders of event staff roles for a specific form ID and facility ID,"excluding the ones with a specific name.,SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456 AND name NOT LIKE '%Admin%';"
Find event actions performed by a specific user and within a specific date range,"ordered by the action date in descending order, and limited to 50 rows.,SELECT * FROM event_actions WHERE user_id = 123 AND action_date BETWEEN '2023-06-01' AND '2023-06-30' ORDER BY action_date DESC LIMIT 50;"
Get form settings summary tools for a specific form ID,"facility ID, and organization ID, ordered by the tools ID in ascending order, and limited to 10 rows.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND facility_id = 456 AND organization_id = 123 ORDER BY tools_id ASC LIMIT 10;"
Retrieve events created by a specific user,"organization ID, and closed within the last month, ordered by the event type ID in ascending order, and limited to 20 rows.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '1 month' ORDER BY events_type_id ASC LIMIT 20;"
Retrieve pharmacies with a specific name,"activated by a specific user, disabled after a certain date, ordered by their names in ascending order, and limited to 15 rows.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC LIMIT 15;"
Retrieve the user IDs and full names of staff members who have an official user ID,"belong to a specific organization, and have an active status.,SELECT id, full_name FROM staff_directory WHERE official_user_id IS NOT NULL AND org_id = 123 AND is_active = 1;"
Retrieve the full names of staff members who have an official user ID.,SELECT full_name FROM staff_directory WHERE official_user_id IS NOT NULL;
Find assets that have been updated in the last 7 days.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS;
Get hazards with a description longer than 100 characters.,SELECT * FROM hazards WHERE LENGTH(description) > 100;
Retrieve the names and orders of event staff roles in alphabetical order.,"SELECT name, `order` FROM event_staff_roles ORDER BY name ASC;"
Find event actions that were updated by a specific user.,SELECT * FROM event_actions WHERE updated_by = 123;
Get form settings summary tools for a specific organization ID.,SELECT * FROM formsettings_summarytools WHERE organization_id = 456;
Retrieve events that are still open.,SELECT * FROM events WHERE is_open = 1;
Find users with a specific type and created after a certain date.,SELECT * FROM users WHERE type = 'admin' AND date_created > '2023-01-01';
Get organizations located in a specific city.,SELECT * FROM organizations WHERE city = 'New York';
Retrieve pharmacies that were activated by a specific user.,SELECT * FROM pharmacies WHERE activated_by = 123;
Find assets that are currently active and have a serial number starting with 'ABC'.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE 'ABC%';
Get hazards created in the last 30 days and belong to a specific organization.,SELECT * FROM hazards WHERE created_at >= NOW() - INTERVAL 30 DAYS AND organizations_id = 789;
Retrieve the names and IDs of staff members ordered by their full names in ascending order.,"SELECT full_name, id FROM staff_directory ORDER BY full_name ASC;"
Find assets with a specific asset item ID and belong to a specific organization.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456;
"Get hazards with a description containing the word ""safety"" and created in the last 6 months.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS;
Retrieve all event staff roles with a specific order.,SELECT * FROM event_staff_roles WHERE `order` = 1;
Find event actions for a specific event ID and user ID.,SELECT * FROM event_actions WHERE events_id = 123 AND user_id = 456;
Get form settings summary tools for a specific form ID and updated by a specific user.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND updated_by = 123;
Retrieve events that have a specific event type ID and created by a specific user.,SELECT * FROM events WHERE events_type_id = 123 AND users_id = 456;
Find users with a specific profile ID and active status.,SELECT * FROM users WHERE profiles_id = 123 AND active = 1;
Get organizations created after a certain date and located in a specific country.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND countries_id = 123;
Retrieve pharmacies with a specific organization ID and created before a certain date.,SELECT * FROM pharmacies WHERE organizations_id = 123 AND date_created < '2023-01-01';
Find assets that were updated in the last 7 days and belong to a specific organization.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS AND organizations_id = 123;
Get hazards with a description shorter than 50 characters and created by a specific pharmacy.,SELECT * FROM hazards WHERE LENGTH(description) < 50 AND pharmacies_id = 456;
Retrieve the names and orders of event staff roles ordered by their orders in descending order.,"SELECT name, `order` FROM event_staff_roles ORDER BY `order` DESC;"
Find event actions that were updated by a specific user and created after a certain date.,SELECT * FROM event_actions WHERE updated_by = 123 AND date_created > '2023-01-01';
Get form settings summary tools for a specific facility ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE facility_id = 123 AND organization_id = 456;
Retrieve events that are still open and created by a specific user.,SELECT * FROM events WHERE is_open = 1 AND users_id = 123;
Find users with a specific type and created between two dates.,SELECT * FROM users WHERE type = 'admin' AND date_created BETWEEN '2023-01-01' AND '2023-01-31';
Get organizations located in a specific city and created after a certain date.,SELECT * FROM organizations WHERE city = 'London' AND date_created > '2023-01-01';
Retrieve pharmacies that were activated by a specific user and created before a certain date.,SELECT * FROM pharmacies WHERE activated_by = 123 AND date_created < '2023-01-01';
Find assets that are currently active and have a serial number ending with 'XYZ'.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE '%XYZ';
Get hazards created in the last 30 days and have a specific organization ID.,SELECT * FROM hazards WHERE created_at >= NOW() - INTERVAL 30 DAYS AND organizations_id = 123;
Retrieve the names and IDs of staff members ordered by their IDs in ascending order.,"SELECT full_name, id FROM staff_directory ORDER BY id ASC;"
Find assets with a specific asset item ID,"belong to a specific organization, and have a certain serial number.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456 AND serial_number = 'XYZ';"
"Get hazards with a description containing the word ""safety"" and created in the last 6 months","ordered by their names in ascending order.,SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS ORDER BY name ASC;"
Retrieve all event staff roles with a specific order and form ID.,SELECT * FROM event_staff_roles WHERE `order` = 1 AND forms_id = 123;
Find event actions for a specific event ID,"user ID, and action date within a specific date range.,SELECT * FROM event_actions WHERE events_id = 123 AND user_id = 456 AND action_date BETWEEN '2023-01-01' AND '2023-12-31';"
Get form settings summary tools for a specific form ID,"updated by a specific user, and belong to a specific organization.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND updated_by = 123 AND organization_id = 456;"
Retrieve events that have a specific event type ID,"created by a specific user, and closed within the last month.,SELECT * FROM events WHERE events_type_id = 123 AND users_id = 456 AND date_closed >= NOW() - INTERVAL 1 MONTH;"
Find users with a specific profile ID,"active status, and created after a certain date, ordered by their full names in ascending order.,SELECT * FROM users WHERE profiles_id = 123 AND active = 1 AND date_created > '2023-01-01' ORDER BY full_name ASC;"
Get organizations created after a certain date,"located in a specific country, and have a trial end date in the future.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND countries_id = 123 AND trial_ends_at > NOW();"
Retrieve pharmacies with a specific organization ID,"created before a certain date, and activated by a specific user.,SELECT * FROM pharmacies WHERE organizations_id = 123 AND date_created < '2023-01-01' AND activated_by = 456;"
Find assets that were updated in the last 7 days,"belong to a specific organization, and have a certain asset type ID.,SELECT * FROM assets WHERE updated_at >= NOW() - INTERVAL 7 DAYS AND organizations_id = 123 AND asset_type_id = 456;"
Get hazards with a description shorter than 50 characters,"created by a specific pharmacy, and belong to a specific organization.,SELECT * FROM hazards WHERE LENGTH(description) < 50 AND pharmacies_id = 456 AND organizations_id = 789;"
Retrieve the names and orders of event staff roles ordered by their names in descending order.,"SELECT name, `order` FROM event_staff_roles ORDER BY name DESC;"
Find event actions that were updated by a specific user,"created after a certain date, and belong to a specific event.,SELECT * FROM event_actions WHERE updated_by = 123 AND date_created > '2023-01-01' AND events_id = 456;"
Get form settings summary tools for a specific facility ID,"organization ID, and updated by a specific user.,SELECT * FROM formsettings_summarytools WHERE facility_id = 123 AND organization_id = 456 AND updated_by = 789;"
Retrieve events that are still open,"created by a specific user, and closed within the last week.,SELECT * FROM events WHERE is_open = 1 AND users_id = 123 AND date_closed >= NOW() - INTERVAL '7 days';"
Find users with a specific type,"active status, and created between two dates, ordered by their full names in ascending order.,SELECT * FROM users WHERE type = 'admin' AND active = 1 AND date_created BETWEEN '2023-01-01' AND '2023-01-31' ORDER BY full_name ASC;"
Get organizations located in a specific city,"created after a certain date, and have a trial end date in the future.,SELECT * FROM organizations WHERE city = 'London' AND date_created > '2023-01-01' AND trial_ends_at > NOW();"
Retrieve pharmacies that were activated by a specific user,"created before a certain date, and disabled after a certain date.,SELECT * FROM pharmacies WHERE activated_by = 123 AND date_created < '2023-01-01' AND date_disabled > '2023-01-01';"
Find assets that are currently active,"have a serial number ending with 'XYZ', and belong to a specific organization.,SELECT * FROM assets WHERE active = 1 AND serial_number LIKE '%XYZ' AND organizations_id = 123;"
"Get hazards with a description containing the word ""safety""","created in the last 6 months, and belong to a specific pharmacy.,SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_at >= NOW() - INTERVAL 6 MONTHS AND pharmacies_id = 789;"
Retrieve the names and IDs of staff members ordered by their IDs in descending order.,"SELECT full_name, id FROM staff_directory ORDER BY id DESC;"
Find assets with a specific asset item ID,"belong to a specific organization, have a certain serial number, and were updated by a specific user.,SELECT * FROM assets WHERE asset_items_id = 123 AND organizations_id = 456 AND serial_number = 'XYZ' AND updated_by = 789;"
Retrieve all event staff roles with a specific order and form ID,"ordered by their names in descending order.,SELECT * FROM event_staff_roles WHERE `order` = 1 AND forms_id = 123 ORDER BY name DESC;"
Find event actions for a specific event ID,"user ID, and action date within a specific date range, ordered by the action date in descending order.,SELECT * FROM event_actions WHERE events_id = 123 AND user_id = 456 AND action_date BETWEEN '2023-01-01' AND '2023-12-31' ORDER BY action_date DESC;"
Get form settings summary tools for a specific form ID,"updated by a specific user, and belong to a specific organization, ordered by the tools ID in ascending order.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND updated_by = 123 AND organization_id = 456 ORDER BY tools_id ASC;"
