question,sql
In what Battle was Bulgarian Commander of Gavril Radomir?,SELECT Battle FROM table WHERE Bulgarian Commander = gavril radomir
What is the Date of the Bulgarian Victory at the Battle of Arcadiopolis?,SELECT Date FROM table WHERE Result = bulgarian victory AND Battle = battle of arcadiopolis
What is the Bulgarian Commander in Autumn 1040 at the Battle of Thessalonica?,SELECT Bulgarian Commander FROM table WHERE Battle = battle of thessalonica AND Date = autumn 1040
What is the Byzantine Commander with a Bulgarian Victory at the Siege of Lovech?,SELECT Byzantine Commander FROM table WHERE Result = bulgarian victory AND Battle = siege of lovech
What is the Result of the Battle of Marcellae in 756?,SELECT Result FROM table WHERE Battle = battle of marcellae AND Date = 756
What is the date of Gavril Radomir's Bulgarian Victory?,SELECT Date FROM table WHERE Result = bulgarian victory AND Bulgarian Commander = gavril radomir
"What is 3 Season, when 1 Season is ""2 959 699""?",SELECT 3 season FROM table WHERE 1 season = 2 959 699
"What is 1 Season, when 4 Season is ""2 101 043 (13 May 2009)""?",SELECT 1 season FROM table WHERE 4 season = 2 101 043 (13 may 2009)
"What is 5 Season, when 2 Season is ""3 168 673 (2 April 2008)""?",SELECT 5 season FROM table WHERE 2 season = 3 168 673 (2 april 2008)
"What is 4 Season, when 2 Season is ""3 168 673 (2 April 2008)""?",SELECT 4 season FROM table WHERE 2 season = 3 168 673 (2 april 2008)
"What is 3 Season, when 4 Season is ""2 628 383 (3 June 2009)""?",SELECT 3 season FROM table WHERE 4 season = 2 628 383 (3 june 2009)
"What is 1st Season, when 4 Season is ""3 273 440 (17 March 2009)""?",SELECT 1 season FROM table WHERE 4 season = 3 273 440 (17 march 2009)
What was the wind at New York City when the rank was smaller than 6?,SELECT Wind FROM table WHERE Rank < 6 AND Location = new york city
What was the highest rink for Kingston?,SELECT MAX Rank FROM table WHERE Location = kingston
What is the average first elected for the district South Carolina 2?,SELECT AVG First elected FROM table WHERE District = south carolina 2
Who was the first elected for the republican party?,SELECT First elected FROM table WHERE Party = republican
What party has the South Carolina 2 district?,SELECT Party FROM table WHERE District = south carolina 2
What is the type for Cassano?,SELECT Type FROM table WHERE Name = cassano
What nationality is Diogo?,SELECT Nat. FROM table WHERE Name = diogo
What is the name of the player with a winter transfer window moving from Roma?,SELECT Name FROM table WHERE Transfer window = winter AND Moving from = roma
What pressure is Ken?,SELECT Pressure FROM table WHERE Name = ken
In which round was Barbara Hawcroft the loser?,SELECT Round FROM table WHERE Loser = barbara hawcroft
In which year is Nerida Gregory listed as the loser?,SELECT AVG Year FROM table WHERE Loser = nerida gregory
In which year did Misaki Doi lose the Australian Open Grand Slam?,SELECT SUM Year FROM table WHERE Grand Slam = australian open AND Loser = misaki doi
Which Polish Cup has a Puchat Ligi larger than 0?,SELECT AVG Polish Cup FROM table WHERE Puchat Ligi > 0
"Which Player has a Total of 3, and an Ekstraklasa smaller than 3, and a UEFA Cup of 2?",SELECT Player FROM table WHERE Total = 3 AND Ekstraklasa < 3 AND UEFA Cup = 2
"Which Puchat Ligi has a UEFA Cup smaller than 2, and a Player of takesure chinyama?",SELECT MIN Puchat Ligi FROM table WHERE UEFA Cup < 2 AND Player = takesure chinyama
How much Ekstraklasa has a Total smaller than 3?,SELECT SUM Ekstraklasa FROM table WHERE Total < 3
"How much Puchat Ligi has a Total smaller than 5, and an Ekstraklasa larger than 1?",SELECT SUM Puchat Ligi FROM table WHERE Total < 5 AND Ekstraklasa > 1
"Which player has a to par greater than 11, with a total less than 155?",SELECT Player FROM table WHERE To par > 11 AND Total < 155
"What country has a to par less than 13, with wayne grady as the player?",SELECT Country FROM table WHERE To par < 13 AND Player = wayne grady
"Which Points 1 has Drawn of 5, and a Goal Difference of +58, and a Lost larger than 4?",SELECT MAX Points 1 FROM table WHERE Drawn = 5 AND Goal Difference = +58 AND Lost > 4
Which Lost has Goals Against larger than 92?,SELECT MAX Lost FROM table WHERE Goals Against > 92
"Which Points 1 has a Team of atherton collieries, and a Position smaller than 8?",SELECT MAX Points 1 FROM table WHERE Team = atherton collieries AND Position < 8
"How much Played has a Position of 7, and a Drawn smaller than 7?",SELECT SUM Played FROM table WHERE Position = 7 AND Drawn < 7
"How much Drawn has Points 1 of 51, and a Lost larger than 5?",SELECT COUNT Drawn FROM table WHERE Points 1 = 51 AND Lost > 5
When was the aircraft introduced that could seat 115 people?,SELECT AVG Introduced FROM table WHERE Seating = 115
What year was the aircraft retired when it was replaced by 737-300s?,SELECT Retired FROM table WHERE Notes = replaced by 737-300s
What aircraft was introduced in 2004 and has a retired of —?,SELECT Aircraft FROM table WHERE Retired = — AND Introduced = 2004
Which aircraft has 148/9 seating?,SELECT Aircraft FROM table WHERE Seating = 148/9
How many people can be seated on the aircraft that was introduced in 2008 and has notes of in service?,SELECT Seating FROM table WHERE Notes = in service AND Introduced = 2008
What is the nationality of the player who was previously with the Detroit Pistons?,SELECT Nationality FROM table WHERE Previous team = detroit pistons
What is the career with the franchise of the f/c player with fewer than 9 years of NBA experience who previously played for the Phoenix Suns?,SELECT Career with the franchise FROM table WHERE Years of NBA experience [a ] < 9 AND Pos. = f/c AND Previous team = phoenix suns
What was the tie number when Bournemouth was the home team?,SELECT Tie no FROM table WHERE Home team = bournemouth
Who was the away team when the home team was Norwich City?,SELECT Away team FROM table WHERE Home team = norwich city
On what date was Wimbledon the home team?,SELECT Date FROM table WHERE Home team = wimbledon
On what date was the away team West Ham United?,SELECT Date FROM table WHERE Away team = west ham united
On what date was the away team Bournemouth?,SELECT Date FROM table WHERE Away team = bournemouth
What district has abhayapuri south as the name?,SELECT District FROM table WHERE Name = abhayapuri south
"Which Bronze has a Gold larger than 1, and a Silver smaller than 3, and a Rank smaller than 5?",SELECT Bronze FROM table WHERE Gold > 1 AND Silver < 3 AND Rank < 5
"Which Rank has a Gold larger than 1, and a Bronze of 4, and a Silver smaller than 1?",SELECT MAX Rank FROM table WHERE Gold > 1 AND Bronze = 4 AND Silver < 1
"Which Rank has a Gold of 3, and a Bronze of 4, and a Total larger than 8?",SELECT MIN Rank FROM table WHERE Gold = 3 AND Bronze = 4 AND Total > 8
"How much Total has a Rank smaller than 10, and a Silver larger than 3, and a Gold larger than 3?",SELECT SUM Total FROM table WHERE Rank < 10 AND Silver > 3 AND Gold > 3
"Which Total has a Rank of 9, and a Silver smaller than 2?",SELECT MAX Total FROM table WHERE Rank = 9 AND Silver < 2
What event had Xu Zhilin competing?,SELECT Event FROM table WHERE Name = xu zhilin
What sport has Ma Yuxi in it?,SELECT Sport FROM table WHERE Name = ma yuxi
How many years is Antonio Pompa-Baldi Italy first?,SELECT COUNT Year FROM table WHERE First = antonio pompa-baldi italy
Who is fourth when Anders Martinson USA is second?,SELECT Fourth FROM table WHERE Second = anders martinson usa
"Can you tell me the sum of Wins that has the Club of abuls smiltene, and the Goals smaller than 18?",SELECT SUM Wins FROM table WHERE Club = abuls smiltene AND Goals for < 18
"Can you tell me the average Wins that has the Goal Difference larger than -24, and the Draws larger than 7?",SELECT AVG Wins FROM table WHERE Goal Difference > -24 AND Draws > 7
"Can you tell me the highest Draws that has the Goal Difference smaller than 64, and the Played larger than 30?",SELECT MAX Draws FROM table WHERE Goal Difference < 64 AND Played > 30
Can you tell me the highest Points that has the Played smaller than 30?,SELECT MAX Points FROM table WHERE Played < 30
What rank was the country with no bronze but at least 1 silver medals?,SELECT AVG Rank FROM table WHERE Bronze < 1 AND Silver > 1
"What is the smallest number of gold medals a country with 1 bronze, and a total of 3 medals which is lower than rank 7?",SELECT MIN Gold FROM table WHERE Bronze = 1 AND Total = 3 AND Rank > 7
What is the smallest number of gold medals a country with 7 medals has?,SELECT MIN Gold FROM table WHERE Total = 7
Can you tell me the Host City that has the Games of vii?,SELECT Host City FROM table WHERE Games = vii
"What was the nominated work after 2006, that was awarded the Drama Desk award and the Outstanding featured actor in a musical?",SELECT Nominated Work FROM table WHERE Year > 2006 AND Award = drama desk award AND Category = outstanding featured actor in a musical
What year was Evita nominated for outstanding featured actor in a musical?,SELECT COUNT Year FROM table WHERE Category = outstanding featured actor in a musical AND Nominated Work = evita
"What was the nominated work, nominated for the drama league award before 2007?",SELECT Nominated Work FROM table WHERE Result = nominated AND Award = drama league award AND Year < 2007
Who had the pole position on 7 August?,SELECT Pole Position FROM table WHERE Date = 7 august
Who was the winning team at Zandvoort?,SELECT Winning Team FROM table WHERE Circuit = zandvoort
"Which Losses have Wins smaller than 6, and a South West DFL of sandford?",SELECT MIN Losses FROM table WHERE Wins < 6 AND South West DFL = sandford
"How much Against has Draws of 2, and Losses smaller than 4?",SELECT SUM Against FROM table WHERE Draws = 2 AND Losses < 4
"How many Losses have South West DFL of coleraine, and an Against smaller than 891?",SELECT COUNT Losses FROM table WHERE South West DFL = coleraine AND Against < 891
"What is the lowest played number when goals for is 47, and wins is smaller than 14?",SELECT MIN Played FROM table WHERE Goals for = 47 AND Wins < 14
"What Club has 13 wins, goals against less than 48, and a position of 4?",SELECT Club FROM table WHERE Wins = 13 AND Goals against < 48 AND Position = 4
"What is the lowest position number when goals against was 59, and a goals for is smaller than 24?",SELECT MIN Position FROM table WHERE Goals against = 59 AND Goals for < 24
"What is the highest goals against when points are larger than 31, the goal difference is smaller than 9, wins are 13, and draws are larger than 6?",SELECT MAX Goals against FROM table WHERE Points > 31 AND Goal Difference < 9 AND Wins = 13 AND Draws > 6
"What is the lowest played number when points are larger than 32, and a wins are larger than 18?",SELECT MIN Played FROM table WHERE Points > 32 AND Wins > 18
"Can you tell me the highest Against that has the Status of six nations, and the Date of 02/03/2002?",SELECT MAX Against FROM table WHERE Status = six nations AND Date = 02/03/2002
Can you tell me the average Against thaylt has the Date of 23/03/2002?,SELECT AVG Against FROM table WHERE Date = 23/03/2002
What is the population of area of 11?,SELECT Population FROM table WHERE Area = 11
"What shows for traditional when the population was 44,803?","SELECT Traditional FROM table WHERE Population = 44,803"
"What is the population when the area is 4,575?","SELECT Population FROM table WHERE Area = 4,575"
What shows for simplified when the density is 52?,SELECT Simplified FROM table WHERE Density = 52
What is the density when simplified shows 南山区?,SELECT Density FROM table WHERE Simplified = 南山区
What is the pinyin when the simplified shows 南山区?,SELECT Pinyin FROM table WHERE Simplified = 南山区
What country does Greg Norman represent?,SELECT Country FROM table WHERE Player = greg norman
What years won have a total of 286?,SELECT Year(s) won FROM table WHERE Total = 286
Which player had a total of 295?,SELECT Player FROM table WHERE Total = 295
What is the To par when there was a total of 291?,SELECT To par FROM table WHERE Total = 291
What is the year of daylight service when the builder was Alco?,SELECT Years of Daylight Service FROM table WHERE Builder = alco
"What is 2006-07 Season, when Team is ""KF Fushë Kosova""?",SELECT 2006–07 Season FROM table WHERE Team = kf fushë kosova
"What is 2006-07 Season, when Stadium Capacity is ""0 2,500""?","SELECT 2006–07 Season FROM table WHERE Stadium capacity = 0 2,500"
"What is Stadium Capacity, when 2006-07 Season is ""12th""?",SELECT Stadium capacity FROM table WHERE 2006–07 Season = 12th
"What is Stadium, when Club Home City is ""Peć"", and when 2006-07 Season is ""1st""?",SELECT Stadium FROM table WHERE Club home city = peć AND 2006–07 Season = 1st
"What is Club Home City, when Stadium Capacity is ""0 2,500""?","SELECT Club home city FROM table WHERE Stadium capacity = 0 2,500"
"What is Stadium, when Stadium Capacity is ""10,000"", and when Team is ""KF Drita""?","SELECT Stadium FROM table WHERE Stadium capacity = 10,000 AND Team = kf drita"
"What is Year(s) Won, when Total is ""145"", and when Country is ""United States""?",SELECT Year(s) won FROM table WHERE Total = 145 AND Country = united states
"What is the lowest To par, when Total is greater than 148, and when Year(s) Won is ""1959 , 1968 , 1974""?","SELECT MIN To par FROM table WHERE Total < 148 AND Year(s) won = 1959 , 1968 , 1974"
"What is Country, when To par is ""1"", and when Player is ""Seve Ballesteros""?",SELECT Country FROM table WHERE To par = 1 AND Player = seve ballesteros
"What is the sum of Total, when Year(s) Won is ""1966 , 1970 , 1978"", and when To par is less than 4?","SELECT SUM Total FROM table WHERE Year(s) won = 1966 , 1970 , 1978 AND To par < 4"
"What is Country, when Total is less than 148, and when Player is ""Gary Player""?",SELECT Country FROM table WHERE Total < 148 AND Player = gary player
"What is To par, when Total is less than 148, and when Country is ""South Africa""?",SELECT To par FROM table WHERE Total < 148 AND Country = south africa
What is the average age at appointment of those attached to security?,SELECT AVG age at appointment FROM table WHERE Portfolio attachment = security
"What was the distance of the race on saturday, august 23?","SELECT Distance FROM table WHERE Date = saturday, august 23"
Who was the winner of the race that had a distance of 175.6km?,SELECT Winner FROM table WHERE Distance = 175.6km
"Who won the race on wednesday, august 27?","SELECT Winner FROM table WHERE Date = wednesday, august 27"
What is the distance of the maldegem > brussels route?,SELECT Distance FROM table WHERE Route = maldegem > brussels
Who was the winner of the mechelen > mechelen route?,SELECT Winner FROM table WHERE Route = mechelen > mechelen
What IMAP sharing options exist for software with a web UI?,SELECT IMAP shared FROM table WHERE Web UI = web ui
What's the total for the wc belgrade event with 10 rank points?,SELECT Total FROM table WHERE Event = wc belgrade AND Rank points = 10
That's the total for rank points of olympic gold medalist?,SELECT Total FROM table WHERE Rank points = olympic gold medalist
Who's the shooter with score points of defending champion?,SELECT Shooter FROM table WHERE Score points = defending champion
Who's the shooter with a total of 25?,SELECT Shooter FROM table WHERE Total = 25
Who's the shooter with 13 score points and 10 rank points?,SELECT Shooter FROM table WHERE Score points = 13 AND Rank points = 10
"What is the highest points when the top goal scorer was Khaled Msakni (10), and the final standing is less than 12?",SELECT MAX Points FROM table WHERE Top Goal Scorer = khaled msakni (10) AND Final Standing < 12
What is the final standing in 1981–82?,SELECT Final Standing FROM table WHERE Years = 1981–82
Which event had 4th place and took place in the year 2007?,SELECT Event FROM table WHERE Position = 4th AND Year = 2007
"What runner-up has 4 & 3 as the score, with michael bonallack as the winner?",SELECT Runner-up FROM table WHERE Score = 4 & 3 AND Winner = michael bonallack
"What venue has 3 & 2 as the score, and 1965 as the year?",SELECT Venue FROM table WHERE Score = 3 & 2 AND Year = 1965
What runner-up has 2008 as the year?,SELECT Runner-up FROM table WHERE Year = 2008
"What winner has royal st george's golf club as the venue, and 1969 as the year?",SELECT Winner FROM table WHERE Venue = royal st george's golf club AND Year = 1969
What runner-up has 1925 as the year?,SELECT Runner-up FROM table WHERE Year = 1925
"What year has John Davies as the runner-up, with warren humphreys as the winner?",SELECT Year FROM table WHERE Runner-up = john davies AND Winner = warren humphreys
What country is the player who scored 27 goals from?,SELECT Nationality FROM table WHERE Goals = 27
"For the player that scored 27 goals, what years did he score them?",SELECT Years FROM table WHERE Goals = 27
In what place(s) did the player(s) with a total less than 282 finish?,SELECT Finish FROM table WHERE Total < 282
"In what place did Nick Faldo, who had more than 284 points and a to par score of +5, finish?",SELECT Finish FROM table WHERE Total > 284 AND To par = +5 AND Player = nick faldo
When did Prime Minister Agathe Uwilingiyimana's mandate end?,SELECT Mandate end FROM table WHERE Office = prime minister AND Name a = agathe uwilingiyimana
What is the power output for class 5?,SELECT Power output (kW) FROM table WHERE Number in class = 5
Which class has a power output larger than 700 and a class of 48?,SELECT Class FROM table WHERE Power output (kW) > 700 AND Number in class = 48
What is the Week 8 result of the team that lost to syarcuse (4-2) in Week 7?,SELECT Week 8 Oct 26 FROM table WHERE Week 7 Oct 19 = syarcuse (4-2)
What is the Week 1 result of Colorado State?,SELECT Week 1 Sept 7 FROM table WHERE Preseason = colorado state
Who is the incumbent for the Colorado 4 district?,SELECT Incumbent FROM table WHERE District = colorado 4
What district is the incumbent Republican and the incumbent retired to run for governor democratic gain?,SELECT District FROM table WHERE Party = republican AND Results = retired to run for governor democratic gain
In Colorado 6 district what is the party?,SELECT Party FROM table WHERE District = colorado 6
"Which tournament had a clay surface and a score of 6–1, 3–6, 6–2?","SELECT Tournament FROM table WHERE Surface = clay AND Score in the final = 6–1, 3–6, 6–2"
"How many days had a score of 4–6, 4–6?","SELECT COUNT Date FROM table WHERE Score in the final = 4–6, 4–6"
What was the To Par of Tiger Woods who won in 1988?,SELECT To par FROM table WHERE Year won = 1988
What is the team sites entry for Microsoft Sharepoint?,SELECT Team Sites FROM table WHERE Name = microsoft sharepoint
"If the intranet entry is Yes, what is the extranet entry for Microsoft Exchange server?",SELECT Extranet FROM table WHERE Intranet = yes AND Name = microsoft exchange server
What is the team sites entry that has a public entry of No and a developer entry of Yes?,SELECT Team Sites FROM table WHERE Public = no AND Developer = yes
"What is the name for the entry that has a public of Yes, a personal sites of No, and a team sites of No?",SELECT Name FROM table WHERE Public = yes AND Personal Sites = no AND Team Sites = no
What is the name of the entry that has a developer entry of Yes and a personal sites entry of No?,SELECT Name FROM table WHERE Developer = yes AND Personal Sites = no
What Line has Ohakune Junction as its NIMT?,SELECT Line Name FROM table WHERE NIMT Junction = ohakune junction
What line has Newmarket Junction terminus?,SELECT Line Name FROM table WHERE Terminus = newmarket junction
What terminus is 3.5km in lenght?,SELECT Terminus FROM table WHERE Length = 3.5km
What line has Junction of Huntly NIMT,SELECT Line Name FROM table WHERE NIMT Junction = huntly
What is the average final with an all around greater than 19.35 and a total over 40?,SELECT AVG Final FROM table WHERE All Around > 19.35 AND Total > 40
"What is the sum of the final for finland, who placed greater than 2 and had an all around larger than 18.9?",SELECT SUM Final FROM table WHERE Place > 2 AND Nation = finland AND All Around > 18.9
"What is the place of the player with £140,000 and a 68-68-75-68=279 score?","SELECT Place FROM table WHERE Money ( £ ) = 140,000 AND Score = 68-68-75-68=279"
"What is the country of player stuart appleby, who has a t1 place?",SELECT Country FROM table WHERE Place = t1 AND Player = stuart appleby
"What is the place of player sergio garcía, who has £77,500?","SELECT Place FROM table WHERE Money ( £ ) = 77,500 AND Player = sergio garcía"
What is the to par of the player with a 73-70-70-65=278 score?,SELECT To par FROM table WHERE Score = 73-70-70-65=278
"Who is the player with £140,000?","SELECT Player FROM table WHERE Money ( £ ) = 140,000"
"What is Date, when Time is ""56.49""?",SELECT Date FROM table WHERE Time = 56.49
"What is Event, when Date is ""19 December 2009""?",SELECT Event FROM table WHERE Date = 19 december 2009
"What is Time, when Meet is ""Duel in the Pool"", and when Date is ""19 December 2009""?",SELECT Time FROM table WHERE Meet = duel in the pool AND Date = 19 december 2009
"What is the Location, when Event is ""100m Butterfly""?",SELECT Location FROM table WHERE Event = 100m butterfly
"What is Date, when Meet is ""World Championships"", when Nationality is ""United States"", and when Time is ""1:46.68""?",SELECT Date FROM table WHERE Meet = world championships AND Nationality = united states AND Time = 1:46.68
"What is Event, when Meet is ""World Championships"", and when Time is ""20.51""?",SELECT Event FROM table WHERE Meet = world championships AND Time = 20.51
"What is the highest number of households with a median household income of $31,176, and a population of 25,607?","SELECT MAX Number of households FROM table WHERE Median household income = $31,176 AND Population < 25,607"
What is the median household income for Cape Girardeau?,SELECT Median household income FROM table WHERE County = cape girardeau
"What is the median household income with 4,527 houses, and a median family income of $71,009?","SELECT Median household income FROM table WHERE Number of households > 4,527 AND Median family income = $71,009"
Who is the Colourist that has a Story Title of Broken Glass (part 3) and a Letterer of Albers?,SELECT Colourist/s FROM table WHERE Letterer/s = albers AND Story Title = broken glass (part 3)
What is the Cover Date of the Story Title Spacehikers (Part 2)?,SELECT Cover Date FROM table WHERE Story Title = spacehikers (part 2)
What is the Story Title that has Albers as the Letterer?,SELECT Story Title FROM table WHERE Letterer/s = albers
Who are the drivers with 133 laps in OC class?,SELECT Drivers FROM table WHERE Laps = 133 AND Class = oc
What are the most laps for the Qual position of 7 in the OC class?,SELECT MAX Laps FROM table WHERE Class = oc AND Qual Pos = 7
What are Perkins Engineering's fewest laps?,SELECT MIN Laps FROM table WHERE Team = perkins engineering
Which class has a Qual position of 30?,SELECT Class FROM table WHERE Qual Pos = 30
"What Release date has a Version of 1.0, a Category of utilities, a Developer of microsoft, and a Title of msn money?",SELECT Release date FROM table WHERE Version = 1.0 AND Category = utilities AND Developer = microsoft AND Title = msn money
"What Release date has a Category of utilities, a Developer of microsoft, and a Title of chord finder?",SELECT Release date FROM table WHERE Category = utilities AND Developer = microsoft AND Title = chord finder
"What Developer has a Release date of 2010-12-16, and a Title of facebook?",SELECT Developer FROM table WHERE Release date = 2010-12-16 AND Title = facebook
What Title has a Version of 1.0.0.3?,SELECT Title FROM table WHERE Version = 1.0.0.3
What Version has a Title of alarm clock?,SELECT Version FROM table WHERE Title = alarm clock
"What Version has a Developer of dino games, and a Title of metronome?",SELECT Version FROM table WHERE Developer = dino games AND Title = metronome
Where did Wales play?,SELECT Venue FROM table WHERE Opposing Teams = wales
What venue has 19 against?,SELECT Venue FROM table WHERE Against = 19
"Which Award Ceremony has a Nominee of sarah travis, and a Category of the best orchestrations?",SELECT Award Ceremony FROM table WHERE Nominee = sarah travis AND Category = best orchestrations
What is the most current year signed for separation of † and a separation year of 1997?,SELECT MAX Year signed FROM table WHERE Reason for separation = † AND Year separated = 1997
What is the Chinese name for the English name Andy Lau?,SELECT Chinese name FROM table WHERE English name = andy lau
What year was Wilfred Lau separated because Capital stopped recording music?,SELECT Year separated FROM table WHERE Reason for separation = capital stopped recording music AND English name = wilfred lau
What is the English name for the Chinese name of 蘇永康 later than 1974?,SELECT English name FROM table WHERE Year signed > 1974 AND Chinese name = 蘇永康
What was the signed year for the Chinese name 蘇永康 who separated in 1987?,SELECT Year signed FROM table WHERE Year separated = 1987 AND Chinese name = 蘇永康
WHAT IS THE SITE ON OCTOBER 7?,SELECT Site FROM table WHERE Date = october 7
WHAT DATE HAD 6 RANK?,SELECT Date FROM table WHERE Rank # = 6
WHAT OPPONENT WAS ON OCTOBER 7?,SELECT Opponent# FROM table WHERE Date = october 7
WHAT RANK HAD A RESULT OF W13-3?,SELECT Rank # FROM table WHERE Result = w13-3
What is the original NFL team of the College of Oregon DT Player?,SELECT Original NFL team FROM table WHERE College = oregon AND Pos. = dt
What Player is from Iowa State?,SELECT Player FROM table WHERE College = iowa state
"What was the result of the game that had 77,702 people in attendance?","SELECT Result FROM table WHERE Attendance = 77,702"
On what day did the team play the Indianapolis Colts?,SELECT Date FROM table WHERE Opponent = indianapolis colts
"What is the average Played, when Goals Against is less than 63, when Team is ""Nelson"", and when Lost is greater than 16?",SELECT AVG Played FROM table WHERE Goals Against < 63 AND Team = nelson AND Lost > 16
"What is the total number of Goals For, when Points 1 is ""41""?",SELECT COUNT Goals For FROM table WHERE Points 1 = 41
"What is the lowest Position, when Lost is greater than 15, when Team is Cheadle Town, and when Drawn is greater than 8?",SELECT MIN Position FROM table WHERE Lost > 15 AND Team = cheadle town AND Drawn > 8
"What is the lowest Position, when Points 1 is ""39"", and when Goals Against is greater than 49?",SELECT MIN Position FROM table WHERE Points 1 = 39 AND Goals Against > 49
WHAT SEASON HAD COACH JONAS KAZLAUSKAS AT champions cup group stage?,SELECT Season FROM table WHERE Head Coach = jonas kazlauskas AND Europe = champions cup group stage
WHAT IS THE LKF CUP WITH euroleague group stage AND bbl elite division finalist?,SELECT LKF Cup FROM table WHERE Europe = euroleague group stage AND Regional Competitions = bbl elite division finalist
"WHAT IS THE ERUPE WITH HEAD COACH vainauskas , sakalauskas AND WITH NEBL FINALIST?","SELECT Europe FROM table WHERE Head Coach = vainauskas , sakalauskas AND Regional Competitions = nebl finalist"
"What is the American sound that has a 17th century equivalent of ɪ, and a Semi-closed initial unstressed vowels of i /ɪ, ɨ/?","SELECT American FROM table WHERE 17th c. = ɪ AND Semi-closed initial unstressed vowels = i /ɪ, ɨ/"
What is the American sound that has a 17th century equivalent of ɔ?,SELECT American FROM table WHERE 17th c. = ɔ
"What is the entry for the Australian sound that has an example of illyria, cf. cirrhosis?","SELECT Australian FROM table WHERE Examples = illyria, cf. cirrhosis"
"For the 17th century entry of ɐ, what is Semi-closed initial unstressed vowels?",SELECT Semi-closed initial unstressed vowels FROM table WHERE 17th c. = ɐ
What is the entry for the Australian sound that has a 17th century equivalent of ɐ?,SELECT Australian FROM table WHERE 17th c. = ɐ
"What is the example for the American of ɪ, ə, and a Semi-closed initial unstressed vowels of y /ɨ/?","SELECT Examples FROM table WHERE American = ɪ, ə AND Semi-closed initial unstressed vowels = y /ɨ/"
What field is an opponent of cannons and resulted with w 16-11?,SELECT Field FROM table WHERE Opponent = cannons AND Result = w 16-11
what is the result from texas stadium?,SELECT Result FROM table WHERE Field = texas stadium
What field resulted with w 18-12?,SELECT Field FROM table WHERE Result = w 18-12
What field had results of w 18-12?,SELECT Field FROM table WHERE Result = w 18-12
"WHAT ARE THE HIGHEST POINTS WITH GOALS LARGER THAN 48, WINS LESS THAN 19, GOALS AGAINST SMALLER THAN 44, DRAWS LARGER THAN 5?",SELECT MAX Points FROM table WHERE Goals for > 48 AND Wins < 19 AND Goals against < 44 AND Draws > 5
"WHAT ARE THE TOTAL NUMBER OF POINTS WITH WINS SMALLER THAN 14, AT SD INDAUCHU, POSITION BIGGER THAN 12?",SELECT COUNT Points FROM table WHERE Wins < 14 AND Club = sd indauchu AND Position > 12
"WHAT ARE THE GOALS WITH DRAWS SMALLER THAN 6, AND LOSSES SMALLER THAN 7?",SELECT AVG Goals for FROM table WHERE Draws < 6 AND Losses < 7
"How many 2010s have a 2007 greater than 4.6, and 8.2 as a 2006?",SELECT COUNT 2010 FROM table WHERE 2007 > 4.6 AND 2006 = 8.2
"What 2010 has a 2006 less than 6.9, a 2008 greater than 1.6, and 2 for 2007?",SELECT 2010 FROM table WHERE 2006 < 6.9 AND 2008 > 1.6 AND 2007 = 2
"How many 2008s have 6.9 as a 2006, with a 2007 less than 7.1?",SELECT COUNT 2008 FROM table WHERE 2006 = 6.9 AND 2007 < 7.1
"What is the highest 2010 that has a 2009 less than 6.5, 0.4 as the 2008, with a 2007 less than 0.5?",SELECT MAX 2010 FROM table WHERE 2009 < 6.5 AND 2008 = 0.4 AND 2007 < 0.5
"How many 2007s have 0.2 as a 2006, with a 2010 less than 0.1?",SELECT SUM 2007 FROM table WHERE 2006 = 0.2 AND 2010 < 0.1
"What Tournament has an Outcome of runner-up, and a Score of 4–6, 3–6?","SELECT Tournament FROM table WHERE Outcome = runner-up AND Score = 4–6, 3–6"
What Surface has a Date of 1 september 2008?,SELECT Surface FROM table WHERE Date = 1 september 2008
What Score has an Opponent of nina bratchikova?,SELECT Score FROM table WHERE Opponent = nina bratchikova
"What Surface has a Tournament of pune, india?","SELECT Surface FROM table WHERE Tournament = pune, india"
What Tournament has a Date of 20 december 2010?,SELECT Tournament FROM table WHERE Date = 20 december 2010
"What Tournament has a Score of 5–7, 2–6?","SELECT Tournament FROM table WHERE Score = 5–7, 2–6"
Which Place has a Score of 71-70=141?,SELECT Place FROM table WHERE Score = 71-70=141
Which Country has a Score of 69-66=135?,SELECT Country FROM table WHERE Score = 69-66=135
Which Country has a To par of –9?,SELECT Country FROM table WHERE To par = –9
"Which To par has a Country of united states, and a Score of 71-70=141?",SELECT To par FROM table WHERE Country = united states AND Score = 71-70=141
"Which Player has a To par of –5, and a Country of england?",SELECT Player FROM table WHERE To par = –5 AND Country = england
"Which Category has an Award of monte carlo tv festival awards, and a Year larger than 2010?",SELECT Category FROM table WHERE Award = monte carlo tv festival awards AND Year > 2010
How many years have a Result of nominated?,SELECT COUNT Year FROM table WHERE Result = nominated
Which Result has a Category of outstanding actor (drama)?,SELECT Result FROM table WHERE Category = outstanding actor (drama)
Which Result has an Award of virgin media tv awards?,SELECT Result FROM table WHERE Award = virgin media tv awards
What is the prize money for the second round qualifying that is listed?,SELECT Prize money FROM table WHERE Round = second round qualifying
"How many years have runner-up as the outcome, and indian wells as the championship?",SELECT SUM Year FROM table WHERE Outcome = runner-up AND Championship = indian wells
What score has 2000 as the year?,SELECT Score FROM table WHERE Year = 2000
"What surface has indian wells as the championship, with winner as the outcome?",SELECT Surface FROM table WHERE Championship = indian wells AND Outcome = winner
Which average money has a To par larger than 12?,SELECT AVG Money ( $ ) FROM table WHERE To par > 12
